Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
India,2018,Ddos,Education,55.3,512953,Unknown,Weak Passwords,Firewall,57,107.80714802330817,2015-2019
India,2023,Phishing,IT,88.71,337377,Hacker Group,Social Engineering,AI-based Detection,23,262.94027156563726,2020-2024
India,2024,Ddos,Retail,0.6,766733,Insider,Zero-day,AI-based Detection,55,0.7825409888448782,2020-2024
Usa,2023,Malware,Retail,50.02,578310,Nation-state,Weak Passwords,Antivirus,15,86.49340319205962,2020-2024
France,2022,Man-In-The-Middle,Telecommunications,12.96,255574,Insider,Social Engineering,Firewall,69,50.70938358361962,2020-2024
China,2023,Phishing,IT,43.58,169152,Nation-state,Unpatched Software,Encryption,49,257.6381006432085,2020-2024
Usa,2020,Man-In-The-Middle,IT,33.22,216472,Unknown,Zero-day,Encryption,55,153.46095568941942,2020-2024
Japan,2020,Phishing,Retail,38.96,370096,Nation-state,Weak Passwords,Encryption,23,105.26998400415027,2020-2024
India,2020,Phishing,Telecommunications,30.14,742555,Insider,Zero-day,Firewall,57,40.589585956595805,2020-2024
Russia,2020,Man-In-The-Middle,IT,21.72,870019,Insider,Social Engineering,AI-based Detection,5,24.964972029346484,2020-2024
Australia,2022,Malware,IT,93.2,941679,Hacker Group,Social Engineering,Antivirus,43,98.97215505496034,2020-2024
France,2024,Ddos,Retail,88.17,738419,Unknown,Zero-day,Firewall,11,119.4037531536973,2020-2024
Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23,10265.95744680851,2015-2019
India,2022,Sql Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1,61.666099310436245,2020-2024
Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3,95.92268084432816,2020-2024
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26,1358.3916083916083,2015-2019
Usa,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61,15.642250519450846,2015-2019
Japan,2019,Ddos,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9,120.55625077110174,2015-2019
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30,35.57526575785315,2015-2019
Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45,20903.263403263405,2020-2024
Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51,758.7977280536859,2015-2019
France,2019,Man-In-The-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55,165.62396959547402,2015-2019
Uk,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59,312.2670058330775,2020-2024
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10,282.88837831111937,2020-2024
China,2020,Man-In-The-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15,142.41347141693137,2020-2024
Germany,2017,Ransomware,Healthcare,32.0,175755,Insider,Weak Passwords,Firewall,30,182.0716338084265,2015-2019
Brazil,2023,Ddos,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19,56.08782412890618,2020-2024
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10,7.1991238749631705,2015-2019
Australia,2024,Ddos,Government,95.28,583925,Insider,Zero-day,Encryption,70,163.17164019351802,2020-2024
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72,146.5073399344879,2015-2019
Brazil,2015,Sql Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49,2783.51123429852,2015-2019
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7,92.81278065193467,2015-2019
Australia,2018,Sql Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59,55.80412422196173,2015-2019
Uk,2015,Man-In-The-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20,98.00032984811993,2015-2019
France,2019,Sql Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48,69.86984831909317,2015-2019
China,2017,Ddos,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8,333.8145914351582,2015-2019
Usa,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34,417.6275309799549,2015-2019
Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51,22.24283929548609,2020-2024
India,2021,Man-In-The-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66,58.4856130909307,2020-2024
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54,183.89716152553206,2020-2024
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50,88.5190081071744,2020-2024
China,2016,Ddos,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2,139.79888280929592,2015-2019
Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39,14.779615906635224,2015-2019
Brazil,2020,Sql Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58,207.69034712152788,2020-2024
Brazil,2024,Sql Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69,233.29563472893946,2020-2024
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15,11.368096101521374,2015-2019
Russia,2019,Ddos,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54,34.22982388841869,2015-2019
China,2023,Sql Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60,5.845115622819443,2020-2024
Usa,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57,152.78056827434517,2020-2024
Australia,2016,Ddos,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34,238.4598768503394,2015-2019
India,2021,Sql Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16,496.84291089992985,2020-2024
Uk,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21,43.79346322110325,2015-2019
India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23,141058.0204778157,2020-2024
Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1,58.118553804032096,2015-2019
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4,483.6858856388161,2015-2019
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62,99.2887537373593,2020-2024
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15,176.3729594490822,2015-2019
Germany,2020,Sql Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16,162.73309137114163,2020-2024
India,2018,Sql Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1,674.3709771796372,2015-2019
Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59,90.66083561732741,2020-2024
China,2018,Man-In-The-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10,129.21759766545358,2015-2019
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69,173.46487571854183,2015-2019
Brazil,2019,Sql Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38,99.07499238476379,2015-2019
China,2015,Ddos,Government,97.15,399851,Nation-state,Social Engineering,VPN,38,242.9655046504823,2015-2019
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21,79.39265122397838,2020-2024
France,2017,Man-In-The-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4,147.49632949540222,2015-2019
Russia,2023,Ddos,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65,54.45840619372956,2020-2024
France,2017,Sql Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21,162.1975677117448,2015-2019
China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46,35.70066124109868,2020-2024
Brazil,2017,Man-In-The-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53,35.51468657647502,2015-2019
Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59,708.0252097414616,2020-2024
Usa,2018,Man-In-The-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68,212.6616692699313,2015-2019
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25,146.5992933743925,2020-2024
Usa,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20,50.364623682229954,2015-2019
Germany,2022,Sql Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47,33.77124230924543,2020-2024
Usa,2018,Ddos,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48,103.5071336459755,2015-2019
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47,64.33727138838098,2020-2024
Japan,2019,Ddos,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20,88.98475447423039,2015-2019
Usa,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60,48.35887784443696,2015-2019
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31,430.13269807172395,2015-2019
Uk,2020,Man-In-The-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35,58.34698237875993,2020-2024
Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15,310.34002617728146,2020-2024
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40,9.568851926740733,2020-2024
France,2023,Sql Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21,133.33259413669225,2020-2024
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13,28.430386891375857,2020-2024
Uk,2024,Man-In-The-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64,18.146401350953113,2020-2024
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27,92.99410437330367,2020-2024
Usa,2019,Ddos,Retail,18.76,411707,Insider,Social Engineering,VPN,42,45.566385803496175,2015-2019
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32,45.03760799473559,2020-2024
India,2015,Man-In-The-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37,202.86783772702827,2015-2019
China,2024,Sql Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52,15.972385659370833,2020-2024
China,2024,Sql Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65,152.99407764860715,2020-2024
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63,112.30623606387806,2020-2024
Brazil,2023,Sql Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72,167.77519504729466,2020-2024
Usa,2019,Ddos,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14,111.99355141442481,2015-2019
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40,7.045484136709162,2015-2019
Russia,2020,Man-In-The-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30,1166.4680174811283,2020-2024
Russia,2020,Man-In-The-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52,24.97205449435291,2020-2024
Japan,2017,Ddos,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15,123.5927087556096,2015-2019
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70,16.953766527337947,2020-2024
France,2017,Man-In-The-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51,77.96157184516339,2015-2019
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55,878.4257786923581,2020-2024
Uk,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64,415.43657743307483,2020-2024
China,2023,Sql Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50,252.59864160333518,2020-2024
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26,132.26355890236346,2015-2019
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10,99.01054437387907,2015-2019
France,2021,Man-In-The-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34,69.42492551576817,2020-2024
India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39,443.50921023932744,2015-2019
Russia,2018,Man-In-The-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44,142.51921572523065,2015-2019
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16,96.97896194468278,2020-2024
Usa,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7,90.02239288236974,2015-2019
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13,22.538300516233413,2015-2019
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33,61.93134859481523,2020-2024
Usa,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5,141.62797175398913,2020-2024
Uk,2016,Man-In-The-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14,525.1074842426013,2015-2019
Germany,2018,Ddos,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35,64.61222066742992,2015-2019
Usa,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37,48.42994386556008,2015-2019
China,2021,Sql Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10,174.1491959300237,2020-2024
Russia,2018,Ddos,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15,25.709709380421458,2015-2019
Australia,2015,Man-In-The-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70,84.48785285569748,2015-2019
Brazil,2023,Ddos,Government,42.75,746425,Unknown,Zero-day,VPN,24,57.27300130622635,2020-2024
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17,246.25156339588898,2015-2019
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72,37.15772323540232,2020-2024
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13,75.18566255447125,2020-2024
Japan,2015,Sql Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43,253.1443581581467,2015-2019
Japan,2016,Ddos,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20,117.63985860721156,2015-2019
Germany,2024,Man-In-The-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36,84.8125540448696,2020-2024
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21,7.518991192448866,2020-2024
Uk,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72,194.091048436542,2020-2024
Uk,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71,78.91522690351117,2020-2024
China,2016,Ddos,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4,294.54130035265484,2015-2019
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23,167.63948106431974,2020-2024
Russia,2018,Ddos,IT,5.18,826924,Insider,Social Engineering,VPN,35,6.264179053939661,2015-2019
China,2024,Ddos,IT,13.77,928751,Insider,Social Engineering,Encryption,26,14.826363578612566,2020-2024
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53,71.849450794609,2020-2024
Brazil,2024,Man-In-The-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48,35.83083929733247,2020-2024
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28,219.24510011814243,2015-2019
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45,97.78303747534517,2020-2024
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17,219.58196852828033,2020-2024
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38,57.93818325353104,2015-2019
Usa,2017,Ddos,Healthcare,64.99,632431,Insider,Zero-day,VPN,55,102.762198563954,2015-2019
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56,73.51359639502272,2015-2019
India,2022,Man-In-The-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37,21.80309376750203,2020-2024
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62,32.76127407545586,2015-2019
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17,20.131468636026252,2020-2024
India,2023,Sql Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66,3838.7874175545408,2020-2024
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,3036.424760201092,2015-2019
China,2021,Sql Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61,294.6766329263035,2020-2024
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17,119.49373073463711,2020-2024
China,2020,Man-In-The-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71,4.111310803350131,2020-2024
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9,637.5651064734436,2015-2019
India,2015,Man-In-The-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11,135.6187711119176,2015-2019
Japan,2023,Man-In-The-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22,272.205828719207,2020-2024
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11,27.776126581320824,2015-2019
India,2018,Sql Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18,479.82008019050335,2015-2019
Russia,2019,Man-In-The-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58,83.34504057545962,2015-2019
Uk,2015,Man-In-The-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28,66.46090556056926,2015-2019
Brazil,2016,Ddos,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21,112.19223143313951,2015-2019
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17,63.07431503960512,2020-2024
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59,29.133966128423324,2015-2019
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41,36.08806631817539,2020-2024
Japan,2021,Man-In-The-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71,83.88515679776594,2020-2024
Usa,2020,Man-In-The-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3,120.13752657229372,2020-2024
Uk,2020,Sql Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63,197.13115100793206,2020-2024
Usa,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27,454.25961474813,2020-2024
China,2024,Ddos,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11,138.1212572495307,2020-2024
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3,61.71935426473596,2020-2024
France,2020,Sql Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32,285.61551167088487,2020-2024
Uk,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71,71.6315737894137,2020-2024
Brazil,2017,Sql Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61,5.371981964959859,2015-2019
Uk,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47,39.29324420767606,2015-2019
Uk,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41,69.86037538735656,2015-2019
Usa,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46,320.7451409291387,2015-2019
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13,85.32501707325991,2015-2019
Australia,2016,Man-In-The-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12,97.94032643291297,2015-2019
Usa,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47,238.873915843844,2020-2024
France,2023,Man-In-The-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68,102.01438301796213,2020-2024
Japan,2017,Ddos,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24,7.317858501888008,2015-2019
Germany,2024,Man-In-The-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2,78.67335926863622,2020-2024
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42,38.201016241052706,2020-2024
Germany,2020,Man-In-The-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7,215.552955153258,2020-2024
Russia,2023,Sql Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25,78.0244836220187,2020-2024
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2,22.190823078970272,2020-2024
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50,103.79186098719204,2015-2019
Germany,2015,Man-In-The-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59,104.1143085804635,2015-2019
Japan,2023,Sql Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49,163.4880216182508,2020-2024
Uk,2016,Ddos,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69,101360.54421768707,2015-2019
Usa,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23,19.52829770958566,2020-2024
Usa,2018,Ddos,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,30.534490857955134,2015-2019
France,2016,Man-In-The-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19,226.05205133520533,2015-2019
Russia,2022,Man-In-The-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62,743.5527928935538,2020-2024
Japan,2021,Man-In-The-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29,21.518954544276816,2020-2024
France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31,91.06300962550321,2015-2019
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12,408.20817170770965,2015-2019
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8,78.63971863080201,2020-2024
Uk,2020,Man-In-The-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72,123.07608496192312,2020-2024
Brazil,2019,Sql Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13,62.153643807492124,2015-2019
Russia,2020,Man-In-The-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1,80.12902278431865,2020-2024
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41,25.05193580604185,2020-2024
France,2020,Ddos,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10,54.78486312529347,2020-2024
Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49,167.30861260692,2015-2019
Uk,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7,425.84650694051095,2020-2024
Usa,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67,21.932365550460993,2015-2019
Russia,2022,Ddos,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54,25.858746828161273,2020-2024
China,2016,Sql Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32,594.0972843558907,2015-2019
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5,207.65763591118758,2015-2019
Uk,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7,29.57398738087326,2020-2024
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38,36.29715981348029,2015-2019
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29,246.60804663879352,2015-2019
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35,59.77594442738529,2020-2024
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69,16.09195150987764,2015-2019
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7,230.870074675061,2020-2024
Brazil,2020,Man-In-The-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28,30.79755437870764,2020-2024
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65,49.90023323850997,2015-2019
Uk,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56,212.8836194866812,2020-2024
China,2017,Ddos,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71,149.7503643268528,2015-2019
Brazil,2024,Ddos,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13,97.63236092916254,2020-2024
Russia,2024,Sql Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2,950.0504840529785,2020-2024
Uk,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59,271.8616516373991,2020-2024
Uk,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55,15.914987442080221,2020-2024
China,2023,Ddos,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50,132.20942844428356,2020-2024
Australia,2024,Ddos,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4,9045.438534695315,2020-2024
Uk,2018,Man-In-The-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19,105.7720422949482,2015-2019
Germany,2023,Sql Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4,56.45896610650516,2020-2024
China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15,18.389432185682228,2020-2024
Usa,2019,Ddos,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30,162.2880021593414,2015-2019
Usa,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5,120.40961047076165,2020-2024
Usa,2020,Ddos,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4,105.26548924564479,2020-2024
Brazil,2017,Ddos,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9,136.31307249752317,2015-2019
Usa,2017,Ddos,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4,122.0051199588993,2015-2019
France,2015,Sql Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64,607.2941762897732,2015-2019
France,2020,Ddos,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53,66.58755605482546,2020-2024
Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16,107.86845750481726,2020-2024
Russia,2015,Man-In-The-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58,167.75455306049685,2015-2019
Uk,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11,16.21689424076264,2020-2024
Uk,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31,247.98627065629586,2020-2024
India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62,239.67848550269989,2020-2024
China,2023,Ddos,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46,142.75643285160382,2020-2024
Australia,2020,Sql Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6,30.84481331697668,2020-2024
